Logging to ./train/ppo1
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 8.22        |
|    ep_rew_mean          | -91         |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 137         |
|    time_elapsed         | 3035        |
|    total_timesteps      | 561152      |
| train/                  |             |
|    approx_kl            | 0.016885165 |
|    clip_fraction        | 0.037       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.124       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.18e+03    |
|    n_updates            | 13600       |
|    policy_gradient_loss | -0.0151     |
|    value_loss           | 4.16e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.27        |
|    ep_rew_mean          | -85.5       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 138         |
|    time_elapsed         | 3059        |
|    total_timesteps      | 565248      |
| train/                  |             |
|    approx_kl            | 0.010516531 |
|    clip_fraction        | 0.0783      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.0535      |
|    learning_rate        | 1e-05       |
|    loss                 | 761         |
|    n_updates            | 13700       |
|    policy_gradient_loss | -0.00312    |
|    value_loss           | 1.86e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.47        |
|    ep_rew_mean          | -88.4       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 139         |
|    time_elapsed         | 3083        |
|    total_timesteps      | 569344      |
| train/                  |             |
|    approx_kl            | 0.017636083 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.0543      |
|    learning_rate        | 1e-05       |
|    loss                 | 761         |
|    n_updates            | 13800       |
|    policy_gradient_loss | -0.013      |
|    value_loss           | 2.77e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.93        |
|    ep_rew_mean          | -73.9       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 140         |
|    time_elapsed         | 3106        |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.013968239 |
|    clip_fraction        | 0.0279      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.83       |
|    explained_variance   | 0.0678      |
|    learning_rate        | 1e-05       |
|    loss                 | 989         |
|    n_updates            | 13900       |
|    policy_gradient_loss | -0.00932    |
|    value_loss           | 3.13e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.8         |
|    ep_rew_mean          | -83.1       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 141         |
|    time_elapsed         | 3130        |
|    total_timesteps      | 577536      |
| train/                  |             |
|    approx_kl            | 0.032887857 |
|    clip_fraction        | 0.064       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | -0.173      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.39e+03    |
|    n_updates            | 14000       |
|    policy_gradient_loss | -0.0184     |
|    value_loss           | 4.81e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.47        |
|    ep_rew_mean          | -85.7       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 142         |
|    time_elapsed         | 3153        |
|    total_timesteps      | 581632      |
| train/                  |             |
|    approx_kl            | 0.008828726 |
|    clip_fraction        | 0.0443      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.82       |
|    explained_variance   | 0.0533      |
|    learning_rate        | 1e-05       |
|    loss                 | 850         |
|    n_updates            | 14100       |
|    policy_gradient_loss | 0.0012      |
|    value_loss           | 2.01e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.86        |
|    ep_rew_mean          | -87.8       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 143         |
|    time_elapsed         | 3177        |
|    total_timesteps      | 585728      |
| train/                  |             |
|    approx_kl            | 0.011661645 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | 0.112       |
|    learning_rate        | 1e-05       |
|    loss                 | 892         |
|    n_updates            | 14200       |
|    policy_gradient_loss | -0.0057     |
|    value_loss           | 2.06e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.2        |
|    ep_rew_mean          | -87.9       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 144         |
|    time_elapsed         | 3200        |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.013075074 |
|    clip_fraction        | 0.0433      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.0949      |
|    learning_rate        | 1e-05       |
|    loss                 | 778         |
|    n_updates            | 14300       |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 2.46e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.05        |
|    ep_rew_mean          | -87.1       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 145         |
|    time_elapsed         | 3224        |
|    total_timesteps      | 593920      |
| train/                  |             |
|    approx_kl            | 0.037777096 |
|    clip_fraction        | 0.0842      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | -0.09       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.77e+03    |
|    n_updates            | 14400       |
|    policy_gradient_loss | -0.029      |
|    value_loss           | 8.06e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.43        |
|    ep_rew_mean          | -73         |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 146         |
|    time_elapsed         | 3247        |
|    total_timesteps      | 598016      |
| train/                  |             |
|    approx_kl            | 0.012837712 |
|    clip_fraction        | 0.0509      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | -0.0551     |
|    learning_rate        | 1e-05       |
|    loss                 | 970         |
|    n_updates            | 14500       |
|    policy_gradient_loss | -0.0094     |
|    value_loss           | 3.1e+03     |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 29.6        |
|    mean_reward          | -778        |
| time/                   |             |
|    total_timesteps      | 600000      |
| train/                  |             |
|    approx_kl            | 0.010622941 |
|    clip_fraction        | 0.0882      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | -0.0356     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.01e+03    |
|    n_updates            | 14600       |
|    policy_gradient_loss | -0.00238    |
|    value_loss           | 2.38e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 6.76     |
|    ep_rew_mean     | -90.6    |
| time/              |          |
|    fps             | 183      |
|    iterations      | 147      |
|    time_elapsed    | 3273     |
|    total_timesteps | 602112   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.5        |
|    ep_rew_mean          | -98.3       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 148         |
|    time_elapsed         | 3296        |
|    total_timesteps      | 606208      |
| train/                  |             |
|    approx_kl            | 0.011436072 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.0173      |
|    learning_rate        | 1e-05       |
|    loss                 | 833         |
|    n_updates            | 14700       |
|    policy_gradient_loss | -0.00911    |
|    value_loss           | 1.95e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.12        |
|    ep_rew_mean          | -81.2       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 149         |
|    time_elapsed         | 3319        |
|    total_timesteps      | 610304      |
| train/                  |             |
|    approx_kl            | 0.014642228 |
|    clip_fraction        | 0.0744      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | -0.00341    |
|    learning_rate        | 1e-05       |
|    loss                 | 971         |
|    n_updates            | 14800       |
|    policy_gradient_loss | -0.0105     |
|    value_loss           | 3.16e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.74        |
|    ep_rew_mean          | -78.3       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 150         |
|    time_elapsed         | 3342        |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.012468107 |
|    clip_fraction        | 0.0427      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.072       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.3e+03     |
|    n_updates            | 14900       |
|    policy_gradient_loss | -0.0123     |
|    value_loss           | 3.08e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.35        |
|    ep_rew_mean          | -77.4       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 151         |
|    time_elapsed         | 3366        |
|    total_timesteps      | 618496      |
| train/                  |             |
|    approx_kl            | 0.010869769 |
|    clip_fraction        | 0.0727      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.139       |
|    learning_rate        | 1e-05       |
|    loss                 | 873         |
|    n_updates            | 15000       |
|    policy_gradient_loss | -0.00657    |
|    value_loss           | 1.99e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.5        |
|    ep_rew_mean          | -78.2       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 152         |
|    time_elapsed         | 3389        |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.009345741 |
|    clip_fraction        | 0.0647      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.0905      |
|    learning_rate        | 1e-05       |
|    loss                 | 988         |
|    n_updates            | 15100       |
|    policy_gradient_loss | -0.00409    |
|    value_loss           | 2.2e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.36        |
|    ep_rew_mean          | -73.3       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 153         |
|    time_elapsed         | 3412        |
|    total_timesteps      | 626688      |
| train/                  |             |
|    approx_kl            | 0.009242155 |
|    clip_fraction        | 0.0555      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.241       |
|    learning_rate        | 1e-05       |
|    loss                 | 746         |
|    n_updates            | 15200       |
|    policy_gradient_loss | -0.00615    |
|    value_loss           | 1.88e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 10.8         |
|    ep_rew_mean          | -113         |
| time/                   |              |
|    fps                  | 183          |
|    iterations           | 154          |
|    time_elapsed         | 3435         |
|    total_timesteps      | 630784       |
| train/                  |              |
|    approx_kl            | 0.0072507025 |
|    clip_fraction        | 0.054        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.79        |
|    explained_variance   | 0.134        |
|    learning_rate        | 1e-05        |
|    loss                 | 934          |
|    n_updates            | 15300        |
|    policy_gradient_loss | -0.00245     |
|    value_loss           | 2.15e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.2        |
|    ep_rew_mean          | -66.2       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 155         |
|    time_elapsed         | 3459        |
|    total_timesteps      | 634880      |
| train/                  |             |
|    approx_kl            | 0.053916782 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.76       |
|    explained_variance   | -0.263      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.38e+03    |
|    n_updates            | 15400       |
|    policy_gradient_loss | -0.0243     |
|    value_loss           | 6.52e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.99        |
|    ep_rew_mean          | -81.4       |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 156         |
|    time_elapsed         | 3482        |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.011379649 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | -0.0488     |
|    learning_rate        | 1e-05       |
|    loss                 | 972         |
|    n_updates            | 15500       |
|    policy_gradient_loss | -0.0027     |
|    value_loss           | 2.61e+03    |
-----------------------------------------
